product_id,product_code,product_name,description,product_type,status,price,sku,category_code,merchant_code,catalog_code,colorfamilyapparel,stylecode,colorapparel,sizechart,occasion,featureapparel,stylenote,modelfit,fabricapparel,washcare,multipack,packquantity,ageband,displayproduct,unisexapparel
1,TCLQ-MTSHIRT-001,Men's Classic Fit Cotton T-Shirt,Premium cotton t-shirt with classic fit and round neck,SIMPLE,ACTIVE,599.00,TCLQ-MTSHIRT-001-BLU-M,MENS-CAT-001,TCLQ-001,FASH-001,Blue,TS001,Navy Blue,"S: 38, M: 40, L: 42, XL: 44",Casual,Breathable fabric,Classic fit t-shirt with round neck,Regular fit,100% Cotton,Machine wash cold,No,1,Adult,Men's Classic Fit Cotton T-Shirt - Navy Blue,No
2,TCLQ-MTSHIRT-002,Men's Slim Fit Printed T-Shirt,Stylish printed t-shirt with slim fit and crew neck,SIMPLE,ACTIVE,699.00,TCLQ-MTSHIRT-002-BLK-L,MENS-CAT-001,TCLQ-001,FASH-001,Black,TS002,Black,"S: 38, M: 40, L: 42, XL: 44",Casual,Quick dry,Modern slim fit t-shirt with graphic print,Slim fit,95% Cotton 5% Elastane,Machine wash cold,No,1,Adult,Men's Slim Fit Printed T-Shirt - Black,No
3,TCLQ-WDRESS-001,Women's Floral Print Maxi Dress,Elegant floral print maxi dress with a flattering silhouette,SIMPLE,ACTIVE,1299.00,TCLQ-WDRESS-001-FLR-M,WOMN-CAT-001,TCLQ-001,FASH-001,Multi,WD001,Floral Print,"S: 34, M: 36, L: 38, XL: 40",Casual,Flowy fabric,Elegant maxi dress with floral print,Regular fit,100% Rayon,Hand wash cold,No,1,Adult,Women's Floral Print Maxi Dress,No
4,TCLQ-WDRESS-002,Women's A-Line Solid Dress,Chic solid color A-line dress with round neck,SIMPLE,ACTIVE,999.00,TCLQ-WDRESS-002-RED-S,WOMN-CAT-001,TCLQ-001,FASH-001,Red,WD002,Maroon,"S: 34, M: 36, L: 38, XL: 40",Casual,Stretchable fabric,Chic A-line dress with round neck,A-line,95% Polyester 5% Elastane,Machine wash cold,No,1,Adult,Women's A-Line Solid Dress - Maroon,No
5,TCLQ-MJEANS-001,Men's Slim Fit Denim Jeans,Premium denim jeans with slim fit and stylish wash,SIMPLE,ACTIVE,1499.00,TCLQ-MJEANS-001-BLU-32,MENS-CAT-001,TCLQ-001,FASH-001,Blue,MJ001,Dark Blue,"30: 30x32, 32: 32x32, 34: 34x32, 36: 36x32",Casual,Stretchable denim,Slim fit jeans with medium wash,Slim fit,98% Cotton 2% Elastane,Machine wash cold,No,1,Adult,Men's Slim Fit Denim Jeans - Dark Blue,No
6,TCLQ-MJEANS-002,Men's Regular Fit Denim Jeans,Comfortable regular fit jeans with classic wash,SIMPLE,ACTIVE,1299.00,TCLQ-MJEANS-002-BLK-34,MENS-CAT-001,TCLQ-001,FASH-001,Black,MJ002,Black,"30: 30x32, 32: 32x32, 34: 34x32, 36: 36x32",Casual,Durable fabric,Classic regular fit jeans,Regular fit,100% Cotton,Machine wash cold,No,1,Adult,Men's Regular Fit Denim Jeans - Black,No
7,TCLQ-WKURTA-001,Women's Embroidered Kurta Set with Palazzo,Elegant embroidered kurta with matching palazzo and dupatta,SIMPLE,ACTIVE,1999.00,TCLQ-WKURTA-001-RED-M,WOMN-CAT-001,TCLQ-001,FASH-001,Red,WK001,Maroon,"S: 34, M: 36, L: 38, XL: 40",Festive,Embroidered,Elegant kurta set with intricate embroidery,Regular fit,100% Cotton,Dry clean only,No,3,Adult,Women's Embroidered Kurta Set with Palazzo - Maroon,No
8,TCLQ-WKURTA-002,Women's Printed Kurta with Pants,Stylish printed kurta with solid pants,SIMPLE,ACTIVE,1599.00,TCLQ-WKURTA-002-BLU-L,WOMN-CAT-001,TCLQ-001,FASH-001,Blue,WK002,Navy Blue,"S: 34, M: 36, L: 38, XL: 40",Casual,Comfortable fabric,Stylish printed kurta with solid pants,Regular fit,100% Cotton,Hand wash cold,No,2,Adult,Women's Printed Kurta with Pants - Navy Blue,No
9,TCLQ-MSHIRT-001,Men's Formal Shirt,Premium formal shirt with regular fit,SIMPLE,ACTIVE,899.00,TCLQ-MSHIRT-001-WHT-40,MENS-CAT-001,TCLQ-001,FASH-001,White,MS001,White,"38: 38, 40: 40, 42: 42, 44: 44",Formal,Wrinkle-resistant,Classic formal shirt with regular fit,Regular fit,100% Cotton,Machine wash cold,No,1,Adult,Men's Formal Shirt - White,No
10,TCLQ-MSHIRT-002,Men's Casual Checkered Shirt,Stylish checkered shirt with button-down collar,SIMPLE,ACTIVE,799.00,TCLQ-MSHIRT-002-CHK-42,MENS-CAT-001,TCLQ-001,FASH-001,Multi,MS002,Blue Checks,"38: 38, 40: 40, 42: 42, 44: 44",Casual,Breathable fabric,Stylish checkered shirt with button-down collar,Regular fit,100% Cotton,Machine wash cold,No,1,Adult,Men's Casual Checkered Shirt - Blue Checks,No
11,TCLQ-WSKIRT-001,Women's A-Line Midi Skirt,Elegant A-line midi skirt with elastic waistband,SIMPLE,ACTIVE,899.00,TCLQ-WSKIRT-001-BLK-M,WOMN-CAT-001,TCLQ-001,FASH-001,Black,WS001,Black,"S: 28, M: 30, L: 32, XL: 34",Casual,Flowy fabric,Elegant A-line midi skirt,A-line,100% Polyester,Hand wash cold,No,1,Adult,Women's A-Line Midi Skirt - Black,No
12,TCLQ-WSKIRT-002,Women's Pleated Mini Skirt,Stylish pleated mini skirt with side zipper,SIMPLE,ACTIVE,799.00,TCLQ-WSKIRT-002-NVY-S,WOMN-CAT-001,TCLQ-001,FASH-001,Blue,WS002,Navy Blue,"S: 28, M: 30, L: 32, XL: 34",Casual,Stretchable fabric,Stylish pleated mini skirt,Pleated,65% Polyester 35% Cotton,Machine wash cold,No,1,Adult,Women's Pleated Mini Skirt - Navy Blue,No
13,TCLQ-MBLAZER-001,Men's Slim Fit Blazer,Premium slim fit blazer for formal occasions,SIMPLE,ACTIVE,2999.00,TCLQ-MBLAZER-001-NVY-40,MENS-CAT-001,TCLQ-001,FASH-001,Blue,MB001,Navy Blue,"38: 38, 40: 40, 42: 42, 44: 44",Formal,Lined interior,Premium slim fit blazer with notch lapel,Slim fit,65% Polyester 35% Viscose,Dry clean only,No,1,Adult,Men's Slim Fit Blazer - Navy Blue,No
