product_id,vendor_id,seller_type,selling_price,stock_quantity,fulfillment_type,processing_time,shipping_charge,seller_sku,condition,warranty_period
PROD-001,TCLQ_DIRECT,PRIMARY,24999.00,50,DIRECT,1,0.00,TCLQ-MBP-2023-16,NEW,1 year standard warranty
PROD-002,TCLQ_MARKETPLACE,SECONDARY,23999.00,30,MARKETPLACE,2,199.00,MPLACE-MBP-2023-16,NEW,1 year standard warranty
PROD-003,CROMA_DIRECT,PRIMARY,22999.00,25,DIRECT,1,0.00,CROMA-MBP-2023-16,NEW,1 year standard warranty
PROD-004,CROMA_MARKETPLACE,SECONDARY,22499.00,15,MARKETPLACE,3,249.00,MPLACE-CROMA-MBP-2023,NEW,1 year standard warranty
PROD-005,TCLQ_DIRECT,PRIMARY,79999.00,10,DIRECT,1,0.00,TCLQ-IPHONE-15-PM,NEW,1 year standard warranty
PROD-006,TCLQ_MARKETPLACE,SECONDARY,78999.00,8,MARKETPLACE,2,199.00,MPLACE-IPHONE-15-PM,NEW,1 year standard warranty
PROD-007,CROMA_DIRECT,PRIMARY,77999.00,12,DIRECT,1,0.00,CROMA-IPHONE-15-PM,NEW,1 year standard warranty
PROD-008,CROMA_MARKETPLACE,SECONDARY,77499.00,5,MARKETPLACE,3,249.00,MPLACE-CROMA-IPHONE-15,NEW,1 year standard warranty
PROD-009,TNSH_DIRECT,PRIMARY,45000.00,3,DIRECT,1,0.00,TNSH-GOLD-NKLC-22K,NEW,Lifetime guarantee
PROD-010,TNSH_MARKETPLACE,SECONDARY,44500.00,2,MARKETPLACE,2,299.00,MPLACE-GOLD-NKLC-22K,NEW,Lifetime guarantee
